地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2018/03/23,06:32:20.6,宮城県沖,38°52.8′N,142°04.6′E,45 km,5.1,震度４
2018/03/20,15:42:30.3,トカラ列島近海,29°16.5′N,129°13.6′E,15 km,2.9,震度３
2018/03/15,05:40:56.1,宮城県沖,38°18.2′N,141°53.1′E,46 km,4.2,震度３
2018/03/13,15:54:32.7,千葉県北東部,35°28.0′N,140°23.6′E,32 km,3.6,震度３
2018/03/13,15:46:30.3,千葉県北東部,35°43.8′N,140°40.4′E,51 km,4.9,震度３
2018/03/13,15:10:53.9,西表島付近,24°15.3′N,123°47.2′E,17 km,4.4,震度３
2018/03/12,19:21:26.0,沖縄本島近海,27°15.0′N,128°25.6′E,48 km,4.6,震度３
2018/03/09,18:15:50.7,陸奥湾,41°10.7′N,141°15.9′E,93 km,4.4,震度３
2018/03/02,12:42:27.3,与那国島近海,24°19.9′N,122°58.2′E,48 km,4.9,震度３
2018/03/02,00:32:22.7,西表島付近,24°14.4′N,123°50.5′E,16 km,4.2,震度３
2018/03/01,23:11:38.2,西表島付近,24°15.2′N,123°47.7′E,15 km,4.4,震度３
2018/03/01,22:42:26.7,西表島付近,24°14.9′N,123°49.2′E,15 km,5.6,震度５弱
2018/02/27,08:08:02.1,茨城県南部,36°13.4′N,140°05.1′E,54 km,4.3,震度３
2018/02/26,01:28:39.7,福島県沖,37°32.2′N,141°45.7′E,40 km,5.8,震度４
2018/02/22,07:56:24.4,長野県南部,35°51.6′N,137°36.3′E,5 km,3.2,震度３
2018/02/19,04:03:16.9,茨城県北部,36°41.6′N,140°35.3′E,9 km,3.7,震度３
2018/02/19,03:31:36.5,豊後水道,32°54.2′N,132°09.7′E,40 km,5.0,震度４
2018/02/17,06:38:45.6,宮城県沖,38°25.5′N,141°58.8′E,57 km,4.5,震度３
2018/02/13,16:17:11.6,長野県南部,35°51.8′N,137°35.5′E,6 km,3.2,震度３
2018/02/13,14:39:44.6,長野県南部,35°51.9′N,137°35.6′E,6 km,4.1,震度４
2018/02/11,04:14:11.9,茨城県沖,36°15.7′N,140°56.1′E,38 km,4.2,震度３
2018/02/06,22:57:07.2,茨城県沖,36°38.3′N,140°54.2′E,51 km,3.7,震度３
2018/02/01,15:48:09.4,奄美大島近海,28°12.7′N,129°24.9′E,19 km,4.2,震度３
2018/01/31,05:11:48.3,浦河沖,42°01.1′N,142°35.4′E,62 km,4.7,震度３
2018/01/27,03:11:00.1,宮城県沖,38°14.3′N,141°36.6′E,63 km,4.5,震度３
2018/01/24,19:51:19.5,青森県東方沖,41°00.5′N,142°26.8′E,34 km,6.3,震度４
2018/01/24,02:32:05.0,茨城県沖,36°19.1′N,140°52.9′E,38 km,4.3,震度３
2018/01/15,03:12:51.9,伊豆大島近海,34°50.8′N,139°15.1′E,11 km,3.4,震度３
2018/01/14,18:07:33.1,浦河沖,41°56.2′N,143°02.8′E,41 km,4.7,震度４
2018/01/09,13:43:21.5,岩手県沖,39°38.0′N,142°06.2′E,49 km,4.1,震度３
2018/01/09,05:52:08.5,伊予灘,33°46.5′N,132°12.3′E,57 km,4.3,震度３
2018/01/06,05:47:58.9,伊豆半島東方沖,34°51.1′N,139°14.7′E,11 km,4.5,震度３
2018/01/06,04:37:58.1,伊豆半島東方沖,34°51.1′N,139°15.2′E,12 km,4.4,震度３
2018/01/06,00:54:13.9,東京湾,35°38.6′N,140°01.3′E,71 km,4.7,震度４
2018/01/05,11:02:25.5,茨城県沖,35°53.7′N,140°53.4′E,41 km,4.5,震度３
2018/01/05,11:02:22.9,富山県西部,36°52.2′N,136°58.8′E,14 km,4.0,震度３
2018/01/02,19:48:40.2,東京湾,35°39.1′N,139°59.3′E,48 km,4.3,震度３
2017/12/27,22:05:29.4,東京湾,35°33.9′N,140°05.0′E,69 km,4.5,震度３
2017/12/20,04:49:24.7,青森県東方沖,40°58.4′N,142°00.7′E,57 km,4.1,震度３
2017/12/19,06:54:34.1,宮城県沖,38°10.9′N,141°41.1′E,51 km,4.6,震度３
2017/12/18,06:09:55.1,宮城県沖,38°52.5′N,142°04.7′E,50 km,4.4,震度３
2017/12/17,20:29:24.2,根室半島南東沖,43°06.0′N,145°35.8′E,49 km,4.1,震度３
